RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
PEP.O;US7134481081;PepsiCo Inc;Consumer Non-Cyclicals;USA
EXPE.O;US30212P3038;Expedia Group Inc;Consumer Cyclicals;USA
SBUX.O;US8552441094;Starbucks Corp;Consumer Cyclicals;USA
HON.O;US4385161066;Honeywell International Inc;Consumer Non-Cyclicals;USA
AMGN.O;US0311621009;Amgen Inc;Healthcare;USA
WDAY.O;US98138H1014;Workday Inc;Technology;USA
EA.O;US2855121099;Electronic Arts Inc;Technology;USA
DOCU.O;US2561631068;DocuSign Inc;Technology;USA
EQIX.O;US29444U7000;Equinix Inc;Real Estate;USA
ZS.O;US98980G1022;Zscaler Inc;Technology;USA
GILD.O;US3755581036;Gilead Sciences Inc;Healthcare;USA
ILMN.O;US4523271090;Illumina Inc;Healthcare;USA
HOOD.O;US7707001027;Robinhood Markets Inc;Technology;USA
MDB.O;US60937P1066;MongoDB Inc;Technology;USA
MDLZ.O;US6092071058;Mondelez International Inc;Consumer Non-Cyclicals;USA
REGN.O;US75886F1075;Regeneron Pharmaceuticals Inc;Healthcare;USA
DDOG.O;US23804L1035;Datadog Inc;Technology;USA
ETSY.O;US29786A1060;ETSY Inc;Consumer Cyclicals;USA
SFIX.O;US8608971078;Stitch Fix Inc;Technology;USA
ADSK.O;US0527691069;Autodesk Inc;Technology;USA
CME.O;US12572Q1058;CME Group Inc;Financials;USA
FISV.O;US3377381088;Fiserv Inc;Industrials;USA
ROLL.O;US75524B1044;RBC Bearings Inc;Industrials;USA
DLTR.O;US2567461080;Dollar Tree Inc;Consumer Cyclicals;USA
EBAY.O;US2786421030;eBay Inc;Technology;USA
ALGN.O;US0162551016;Align Technology Inc;Healthcare;USA
MAR.O;US5719032022;Marriott International Inc;Consumer Cyclicals;USA
KLAC.O;US4824801009;KLA Corp;Technology;USA
CSX.O;US1264081035;CSX Corp;Industrials;USA
VIAC.O;US92556H2067;ViacomCBS Inc;Consumer Cyclicals;USA
APA.O;US03743Q1085;APA Corp (US);Energy;USA
IDXX.O;US45168D1046;IDEXX Laboratories Inc;Healthcare;USA
SIVB.O;US78486Q1013;SVB Financial Group;Financials;USA
OPEN.O;US6837121036;Opendoor Technologies Inc;Real Estate;USA
CZR.O;US12769G1004;Caesars Entertainment Inc;Consumer Cyclicals;USA
OKTA.O;US6792951054;Okta Inc;Technology;USA
LYFT.O;US55087P1049;Lyft Inc;Technology;USA
DXCM.O;US2521311074;Dexcom Inc;Healthcare;USA
CAR.O;US0537741052;Avis Budget Group Inc;Industrials;USA
PENN.O;US7075691094;Penn National Gaming Inc;Consumer Cyclicals;USA
FANG.O;US25278X1090;Diamondback Energy Inc;Energy;USA
BIIB.O;US09062X1037;Biogen Inc;Healthcare;USA
MCHP.O;US5950171042;Microchip Technology Inc;Technology;USA
KDP.O;US49271V1008;Keurig Dr Pepper Inc;Consumer Non-Cyclicals;USA
FITB.O;US3167731005;Fifth Third Bancorp;Financials;USA
COUP.O;US22266L1061;Coupa Software Inc;Technology;USA
ORLY.O;US67103H1077;O'Reilly Automotive Inc;Consumer Cyclicals;USA
ZI.O;US98980F1049;ZoomInfo Technologies Inc;Technology;USA
FIVN.O;US3383071012;Five9 Inc;Technology;USA
XLNX.O;US9839191015;Xilinx Inc;Technology;USA
MSTR.O;US5949724083;Microstrategy Inc;Technology;USA
MRVL.O;US5738741041;Marvell Technology Inc;Technology;USA
FTNT.O;US34959E1091;Fortinet Inc;Technology;USA
TER.O;US8807701029;Teradyne Inc;Technology;USA
ENPH.O;US29355A1079;Enphase Energy Inc;Energy;USA
FCEL.O;US35952H6018;Fuelcell Energy Inc;Energy;USA
WISH.O;US21077C1071;ContextLogic Inc;Technology;USA
VRTX.O;US92532F1003;Vertex Pharmaceuticals Inc;Healthcare;USA
EXC.O;US30161N1019;Exelon Corp;Utilities;USA
AEP.O;US0255371017;American Electric Power Company Inc;Utilities;USA
TTD.O;US88339J1051;Trade Desk Inc;Technology;USA
RUN.O;US86771W1053;Sunrun Inc;Energy;USA
CRVS.O;US2210151005;Corvus Pharmaceuticals Inc;Healthcare;USA
ADP.O;US0530151036;Automatic Data Processing Inc;Technology;USA
WBA.O;US9314271084;Walgreens Boots Alliance Inc;Consumer Non-Cyclicals;USA
CROX.O;US2270461096;Crocs Inc;Consumer Cyclicals;USA
ON.O;US6821891057;ON Semiconductor Corp;Technology;USA
XEL.O;US98389B1008;Xcel Energy Inc;Utilities;USA
SNPS.O;US8716071076;Synopsys Inc;Technology;USA
CTSH.O;US1924461023;Cognizant Technology Solutions Corp;Technology;USA
LNG;US16411R2085;Cheniere Energy Inc;Energy;USA
XLRN.O;US00434H1086;Acceleron Pharma Inc;Healthcare;USA
TROW.O;US74144T1088;T Rowe Price Group Inc;Financials;USA
FSLR.O;US3364331070;First Solar Inc;Energy;USA
PCAR.O;US6937181088;Paccar Inc;Industrials;USA
HBAN.O;US4461501045;Huntington Bancshares Inc;Financials;USA
BYND.O;US08862E1091;Beyond Meat Inc;Consumer Non-Cyclicals;USA
TTWO.O;US8740541094;Take-Two Interactive Software Inc;Consumer Cyclicals;USA
SWKS.O;US83088M1027;Skyworks Solutions Inc;Technology;USA
AMBA.O;KYG037AX1015;Ambarella Inc;Technology;USA
INCY.O;US45337C1027;Incyte Corp;Healthcare;USA
ZBRA.O;US9892071054;Zebra Technologies Corp;Technology;USA
ZNGA.O;US98986T1088;Zynga Inc;Technology;USA
ODFL.O;US6795801009;Old Dominion Freight Line Inc;Industrials;USA
SPLK.O;US8486371045;Splunk Inc;Technology;USA
SBAC.O;US78410G1040;SBA Communications Corp;Real Estate;USA
DISCA.O;US25470F1049;Discovery Inc;Consumer Cyclicals;USA
ULTA.O;US90384S3031;Ulta Beauty Inc;Consumer Cyclicals;USA
NUAN.O;US67020Y1001;Nuance Communications Inc;Technology;USA
SBNY.O;US82669G1040;Signature Bank;Financials;USA
KHC.O;US5007541064;Kraft Heinz Co;Consumer Non-Cyclicals;USA
RGEN.O;US7599161095;Repligen Corp;Healthcare;USA
MPWR.O;US6098391054;Monolithic Power Systems Inc;Technology;USA
STLD.O;US8581191009;Steel Dynamics Inc;Basic Materials;USA
CLOV.O;US18914F1030;Clover Health Investments Corp;Healthcare;USA
QRVO.O;US74736K1016;Qorvo Inc;Technology;USA
CDNS.O;US1273871087;Cadence Design Systems Inc;Technology;USA
ROST.O;US7782961038;Ross Stores Inc;Consumer Cyclicals;USA
VRSK.O;US92345Y1064;Verisk Analytics Inc;Technology;USA
SGEN.O;US81181C1045;Seagen Inc;Healthcare;USA
PAYX.O;US7043261079;Paychex Inc;Industrials;USA
CACC.O;US2253101016;Credit Acceptance Corp;Financials;USA
WDC.O;US9581021055;Western Digital Corp;Technology;USA
CTXS.O;US1773761002;Citrix Systems Inc;Technology;USA
NDAQ.O;US6311031081;Nasdaq Inc;Financials;USA
NTNX.O;US67059N1081;Nutanix Inc;Technology;USA
TSCO.O;US8923561067;Tractor Supply Co;Consumer Cyclicals;USA
MNST.O;US61174X1090;Monster Beverage Corp;Consumer Non-Cyclicals;USA
HST.O;US44107P1049;Host Hotels & Resorts Inc;Real Estate;USA
JBLU.O;US4771431016;JetBlue Airways Corp;Industrials;USA
SDC.O;US83192H1068;SmileDirectClub Inc;Healthcare;USA
CSGP.O;US22160N1090;CoStar Group Inc;Technology;USA
AKAM.O;US00971T1016;Akamai Technologies Inc;Technology;USA
MRTX.O;US60468T1051;Mirati Therapeutics Inc;Healthcare;USA
ALNY.O;US02043Q1076;Alnylam Pharmaceuticals Inc;Healthcare;USA
CPRT.O;US2172041061;Copart Inc;Consumer Cyclicals;USA
FAST.O;US3119001044;Fastenal Co;Industrials;USA
CTAS.O;US1729081059;Cintas Corp;Industrials;USA
FIVE.O;US33829M1018;Five Below Inc;Consumer Cyclicals;USA
TECH.O;US09073M1045;Bio-Techne Corp;Healthcare;USA
NNVC.K;US6300873022;NanoViricides Inc;Healthcare;USA
NKLA.O;US6541101050;Nikola Corporation;Consumer Cyclicals;USA
CERN.O;US1567821046;Cerner Corp;Healthcare;USA
TRMB.O;US8962391004;Trimble Inc;Technology;USA
NTAP.O;US64110D1046;NetApp Inc;Technology;USA
FOXA.O;US35137L1052;Fox Corp;Consumer Cyclicals;USA
EAR.O;US2700871096;Eargo Inc;Healthcare;USA
OSTK.O;US6903701018;Overstock.com Inc;Technology;USA
TRIP.O;US8969452015;Tripadvisor Inc;Consumer Cyclicals;USA
NTLA.O;US45826J1051;Intellia Therapeutics Inc;Healthcare;USA
MKTX.O;US57060D1081;Marketaxess Holdings Inc;Financials;USA
BMBL.O;US12047B1052;Bumble Inc;Technology;USA
POOL.O;US73278L1052;Pool Corp;Consumer Cyclicals;USA
GOEV.O;US13803R1023;Canoo Inc;Financials;USA
ASO.O;US00402L1070;Academy Sports & Outdoors Inc;Consumer Cyclicals;USA
ENTG.O;US29362U1043;Entegris Inc;Technology;USA
CDW.O;US12514G1085;CDW Corp;Technology;USA
CG.O;US14316J1088;Carlyle Group Inc;Financials;USA
LPLA.O;US50212V1008;LPL Financial Holdings Inc;Financials;USA
BRKS.O;US1143401024;Brooks Automation Inc;Technology;USA
EXPD.O;US3021301094;Expeditors International of Washington Inc;Industrials;USA
MRVI.O;US56600D1072;Maravai LifeSciences Holdings Inc;Healthcare;USA
SSNC.O;US78467J1007;SS&C Technologies Holdings Inc;Technology;USA
WMG.O;US9345502036;Warner Music Group Corp;Consumer Cyclicals;USA
SYNH.O;US87166B1026;Syneos Health Inc;Healthcare;USA
NWSA.O;US65249B1098;News Corp;Consumer Cyclicals;USA
AGNC.O;US00123Q1040;AGNC Investment Corp;Real Estate;USA
VTRS.O;US92556V1061;Viatris Inc;Healthcare;USA
BSY.O;US08265T2087;Bentley Systems Inc;Technology;USA
ZION.O;US9897011071;Zions Bancorporation NA;Financials;USA
LKQ.O;US5018892084;LKQ Corp;Consumer Cyclicals;USA
SIRI.O;US82968B1035;Sirius XM Holdings Inc;Consumer Cyclicals;USA
PODD.O;US45784P1012;Insulet Corp;Healthcare;USA
HOLX.O;US4364401012;Hologic Inc;Healthcare;USA
SRPT.O;US8036071004;Sarepta Therapeutics Inc;Healthcare;USA
DISH.O;US25470M1099;DISH Network Corp;Consumer Cyclicals;USA
VRSN.O;US92343E1029;Verisign Inc;Technology;USA
APP.O;US03831W1080;Applovin Corp;Technology;USA
CHK.O;US1651677353;Chesapeake Energy Corp;Energy;USA
IAC.O;US44891N2080;IAC/Interactivecorp;Technology;USA
SABR.O;US78573M1045;Sabre Corp;Technology;USA
ANSS.O;US03662Q1058;ANSYS Inc;Technology;USA
GSKY.O;US39572G1004;GreenSky Inc;Technology;USA
TASK.O;US87652V1098;Taskus Inc;Industrials;USA
CREE.O;US2254471012;Cree Inc;Technology;USA
NLOK.O;US6687711084;NortonLifeLock Inc;Technology;USA
DBX.O;US26210C1045;Dropbox Inc;Technology;USA
PPD.O;US69355F1021;PPD Inc;Healthcare;USA
GNTX.O;US3719011096;Gentex Corp;Consumer Cyclicals;USA
GREE.O;US39531G1004;Greenidge Generation Holdings Inc;Technology;USA
NTRS.O;US6658591044;Northern Trust Corp;Financials;USA
SGMS.O;US80874P1093;Scientific Games Corp;Consumer Cyclicals;USA
STMP.O;US8528572006;Stamps.Com Inc;Technology;USA
GH.O;US40131M1099;Guardant Health Inc;Healthcare;USA
PCTY.O;US70438V1061;Paylocity Holding Corp;Technology;USA
CHRW.O;US12541W2098;CH Robinson Worldwide Inc;Industrials;USA
PFG.O;US74251V1026;Principal Financial Group Inc;Financials;USA
PTC.O;US69370C1009;PTC Inc;Technology;USA
PTGX.O;US74366E1029;Protagonist Therapeutics Inc;Healthcare;USA
BBBY.O;US0758961009;Bed Bath & Beyond Inc;Consumer Cyclicals;USA
GT.O;US3825501014;Goodyear Tire & Rubber Co;Consumer Cyclicals;USA
JBHT.O;US4456581077;J B Hunt Transport Services Inc;Industrials;USA
FYBR.O;US35909D1090;Frontier Communications Parent Inc;Technology;USA
MTTR.O;US5770961002;Matterport Inc;Technology;USA
NTRA.O;US6323071042;Natera Inc;Healthcare;USA
CAKE.O;US1630721017;Cheesecake Factory Inc;Consumer Cyclicals;USA
EDIT.O;US28106W1036;Editas Medicine Inc;Healthcare;USA
BMRN.O;US09061G1013;Biomarin Pharmaceutical Inc;Healthcare;USA
ACVA.O;US00091G1040;ACV Auctions Inc;Technology;USA
TNDM.O;US8753722037;Tandem Diabetes Care Inc;Healthcare;USA
CBRL.O;US22410J1060;Cracker Barrel Old Country Store Inc;Consumer Cyclicals;USA
ABMD.O;US0036541003;ABIOMED Inc;Healthcare;USA
CSOD.O;US21925Y1038;Cornerstone OnDemand Inc;Technology;USA
QDEL.O;US74838J1016;Quidel Corp;Healthcare;USA
TXG.O;US88025U1097;10X Genomics Inc;Healthcare;USA
AVIR.O;US04683R1068;Atea Pharmaceuticals Inc;Healthcare;USA
TXRH.O;US8826811098;Texas Roadhouse Inc;Consumer Cyclicals;USA
NAVI.O;US63938C1080;Navient Corp;Financials;USA
GDRX.O;US38246G1085;Goodrx Holdings Inc;Technology;USA
SPWR.O;US8676524064;SunPower Corp;Energy;USA
MASI.O;US5747951003;Masimo Corp;Healthcare;USA
RDFN.O;US75737F1084;Redfin Corp;Real Estate;USA
LAMR.O;US5128161099;Lamar Advertising Co;Real Estate;USA
WW.O;US98262P1012;WW International Inc;Consumer Non-Cyclicals;USA
PLAY.O;US2383371091;Dave & Buster's Entertainment Inc;Consumer Cyclicals;USA
TSP.O;US90089L1089;TuSimple Holdings Inc;Technology;USA
AAWW.O;US0491642056;Atlas Air Worldwide Holdings Inc;Industrials;USA
SONO.O;US83570H1086;Sonos Inc;Technology;USA
SPSC.O;US78463M1071;SPS Commerce Inc;Technology;USA
AMED.O;US0234361089;Amedisys Inc;Healthcare;USA
CONE.O;US23283R1005;CyrusOne Inc;Real Estate;USA
MAT.O;US5770811025;Mattel Inc;Consumer Cyclicals;USA
OLED.O;US91347P1057;Universal Display Corp;Technology;USA
MIDD.O;US5962781010;Middleby Corp;Consumer Cyclicals;USA
FRPT.O;US3580391056;Freshpet Inc;Consumer Non-Cyclicals;USA
BBIO.O;US10806X1028;BridgeBio Pharma Inc;Healthcare;USA
FFIV.O;US3156161024;F5 Networks Inc;Technology;USA
CFLT.O;US20717M1036;Confluent Inc;Technology;USA
KPLT.O;US4858591021;Katapult Holdings Inc;Financials;USA
RPRX.O;GB00BMVP7Y09;Royalty Pharma PLC;Healthcare;USA
HAS.O;US4180561072;Hasbro Inc;Consumer Cyclicals;USA
RIDE.O;US54405Q1004;Lordstown Motors Corp;Consumer Cyclicals;USA
LAUR.O;US5186132032;Laureate Education Inc;Academic & Educational Services;USA
UPWK.O;US91688F1049;Upwork Inc;Industrials;USA
NUVA.O;US6707041058;NuVasive Inc;Healthcare;USA
IIVI.O;US9021041085;II-VI Inc;Technology;USA
EWBC.O;US27579R1041;East West Bancorp Inc;Financials;USA
MKSI.O;US55306N1046;MKS Instruments Inc;Industrials;USA
PBCT.O;US7127041058;People's United Financial Inc;Financials;USA
CHDN.O;US1714841087;Churchill Downs Inc;Consumer Cyclicals;USA
URBN.O;US9170471026;Urban Outfitters Inc;Consumer Cyclicals;USA
CLNE.O;US1844991018;Clean Energy Fuels Corp;Energy;USA
ONEM.O;US68269G1076;1Life Healthcare Inc;Healthcare;USA
LPTX.O;US52187K1016;Leap Therapeutics Inc;Healthcare;USA
XRAY.O;US24906P1093;DENTSPLY SIRONA Inc;Healthcare;USA
OLLI.O;US6811161099;Ollie's Bargain Outlet Holdings Inc;Consumer Cyclicals;USA
FCNCA.O;US31946M1036;First Citizens BancShares Inc (Delaware);Financials;USA
CGNX.O;US1924221039;Cognex Corp;Industrials;USA
GO.O;US39874R1014;Grocery Outlet Holding Corp;Consumer Non-Cyclicals;USA
BEAM.O;US07373V1052;Beam Therapeutics Inc;Healthcare;USA
EXPI.O;US30212W1009;eXp World Holdings Inc;Real Estate;USA
ECHO.O;US27875T1016;Echo Global Logistics Inc;Industrials;USA
VIR.O;US92764N1028;Vir Biotechnology Inc;Healthcare;USA
FATE.O;US31189P1021;Fate Therapeutics Inc;Healthcare;USA
WEN.O;US95058W1009;Wendys Co;Consumer Cyclicals;USA
JKHY.O;US4262811015;Jack Henry & Associates Inc;Technology;USA
BLI.O;US0843101017;Berkeley Lights Inc;Healthcare;USA
SYNA.O;US87157D1090;Synaptics Inc;Technology;USA
UTHR.O;US91307C1027;United Therapeutics Corp;Healthcare;USA
REGI.O;US75972A3014;Renewable Energy Group Inc;Energy;USA
EEFT.O;US2987361092;Euronet Worldwide Inc;Industrials;USA
BIGC.O;US08975P1084;Bigcommerce Holdings Inc;Technology;USA
ISEE.O;US46583P1021;Iveric Bio Inc;Healthcare;USA
MGNI.O;US55955D1000;Magnite Inc;Technology;USA
OPCH.O;US68404L2016;Option Care Health Inc;Healthcare;USA
AZPN.O;US0453271035;Aspen Technology Inc;Technology;USA
LSCC.O;US5184151042;Lattice Semiconductor Corp;Technology;USA
LESL.O;US5270641096;Leslie's Inc;Consumer Cyclicals;USA
JCOM.O;US48123V1026;j2 Global Inc;Technology;USA
WWD.O;US9807451037;Woodward Inc;Industrials;USA
INOV.O;US45781D1019;Inovalon Holdings Inc;Technology;USA
BRKR.O;US1167941087;Bruker Corp;Healthcare;USA
NXST.O;US65336K1034;Nexstar Media Group Inc;Consumer Cyclicals;USA
VMEO.O;US92719V1008;Vimeo Inc;Technology;USA
REG.O;US7588491032;Regency Centers Corp;Real Estate;USA
SWAV.O;US82489T1043;Shockwave Medical Inc;Healthcare;USA
LAZR.O;US5504241051;Luminar Technologies Inc;Technology;USA
NWL.O;US6512291062;Newell Brands Inc;Consumer Cyclicals;USA
AMRS.O;US03236M2008;Amyris Inc;Basic Materials;USA
RPD.O;US7534221046;Rapid7 Inc;Technology;USA
HSIC.O;US8064071025;Henry Schein Inc;Healthcare;USA
LNT.O;US0188021085;Alliant Energy Corp;Utilities;USA
PRGS.O;US7433121008;Progress Software Corp;Technology;USA
PRFT.O;US71375U1016;Perficient Inc;Technology;USA
HIBB.O;US4285671016;Hibbett Inc;Consumer Cyclicals;USA
BL.O;US09239B1098;Blackline Inc;Technology;USA
MANH.O;US5627501092;Manhattan Associates Inc;Technology;USA
CINF.O;US1720621010;Cincinnati Financial Corp;Financials;USA
PGNY.O;US74340E1038;Progyny Inc;Healthcare;USA
GBT.O;US37890U1088;Global Blood Therapeutics Inc;Healthcare;USA
AXON.O;US05464C1018;Axon Enterprise Inc;Industrials;USA
EVBG.O;US29978A1043;Everbridge Inc;Technology;USA
CDK.O;US12508E1010;CDK Global Inc;Technology;USA
APLS.O;US03753U1060;Apellis Pharmaceuticals Inc;Healthcare;USA
MVIS.O;US5949603048;MicroVision Inc;Technology;USA
VRNS.O;US9222801022;Varonis Systems Inc;Technology;USA
OAS.O;US6742152076;Oasis Petroleum Inc;Energy;USA
PDCE.O;US69327R1014;PDC Energy Inc;Energy;USA
COMM.O;US20337X1090;CommScope Holding Company Inc;Technology;USA
IBKR.O;US45841N1072;Interactive Brokers Group Inc;Financials;USA
LITE.O;US55024U1097;Lumentum Holdings Inc;Technology;USA
UFAB.K;US90915J1034;Unique Fabricating Inc;Basic Materials;USA
HQY.O;US42226A1079;Healthequity Inc;Technology;USA
WING.O;US9741551033;Wingstop Inc;Consumer Cyclicals;USA
HYFM.O;US44888K2096;Hydrofarm Holdings Group Inc;Industrials;USA
NBIX.O;US64125C1099;Neurocrine Biosciences Inc;Healthcare;USA
RRR.O;US75700L1089;Red Rock Resorts Inc;Consumer Cyclicals;USA
ZG.O;US98954M1018;Zillow Group Inc;Real Estate;USA
PACB.O;US69404D1081;Pacific Biosciences of California Inc;Healthcare;USA
TWKS.O;US88546E1055;Thoughtworks Holding Inc;Technology;USA
ARRY.O;US04271T1007;Array Technologies Inc;Energy;USA
COHR.O;US1924791031;Coherent Inc;Technology;USA
LPSN.O;US5381461012;LivePerson Inc;Technology;USA
MCFE.O;US5790631080;Mcafee Corp;Technology;USA
VLY.O;US9197941076;Valley National Bancorp;Financials;USA
LSTR.O;US5150981018;Landstar System Inc;Industrials;USA
DOX.O;GB0022569080;Amdocs Ltd;Technology;USA
ICUI.O;US44930G1076;ICU Medical Inc;Healthcare;USA
VRM.O;US92918V1098;Vroom Inc;Technology;USA
CCXI.O;US16383L1061;ChemoCentryx Inc;Healthcare;USA
XRX.O;US98421M1062;Xerox Holdings Corp;Technology;USA
BHF.O;US10922N1037;Brighthouse Financial Inc;Financials;USA
REAL.O;US88339P1012;RealReal Inc;Consumer Cyclicals;USA
SFM.O;US85208M1027;Sprouts Farmers Market Inc;Consumer Non-Cyclicals;USA
BLMN.O;US0942351083;Bloomin' Brands Inc;Consumer Cyclicals;USA
SHLS.O;US82489W1071;Shoals Technologies Group Inc;Energy;USA
BAND.O;US05988J1034;Bandwidth Inc;Technology;USA
SAFM.O;US8000131040;Sanderson Farms Inc;Consumer Non-Cyclicals;USA
SAIA.O;US78709Y1055;Saia Inc;Industrials;USA
DUOL.O;US26603R1068;Duolingo Inc;Technology;USA
SLM.O;US78442P1066;SLM Corp;Financials;USA
HAIN.O;US4052171000;Hain Celestial Group Inc;Consumer Non-Cyclicals;USA
ALGT.O;US01748X1028;Allegiant Travel Co;Industrials;USA
SNBR.O;US83125X1037;Sleep Number Corp;Consumer Cyclicals;USA
ROOT.O;US77664L1089;Root Inc;Financials;USA
IPGP.O;US44980X1090;IPG Photonics Corp;Technology;USA
TENB.O;US88025T1025;Tenable Holdings Inc;Technology;USA
RARE.O;US90400D1081;Ultragenyx Pharmaceutical Inc;Healthcare;USA
GLPI.O;US36467J1088;Gaming and Leisure Properties Inc;Real Estate;USA
CARG.O;US1417881091;CarGurus Inc;Technology;USA
ARCC.O;US04010L1035;Ares Capital Corp;Financials;USA
SLAB.O;US8269191024;Silicon Laboratories Inc;Technology;USA
CASY.O;US1475281036;Caseys General Stores Inc;Consumer Non-Cyclicals;USA
PZZA.O;US6988131024;Papa John's International Inc;Consumer Cyclicals;USA
ENVX.O;US2935941078;Enovix Corp;Financials;USA
AXSM.O;US05464T1043;Axsome Therapeutics Inc;Healthcare;USA
NCNO.O;US63947U1079;nCino Inc;Technology;USA
TWST.O;US90184D1000;Twist Bioscience Corp;Healthcare;USA
CENX.O;US1564311082;Century Aluminum Co;Basic Materials;USA
NDSN.O;US6556631025;Nordson Corp;Industrials;USA
SMTC.O;US8168501018;Semtech Corp;Technology;USA
LHCG.O;US50187A1079;LHC Group Inc;Healthcare;USA
CIDM.O;US1724062096;Cinedigm Corp;Consumer Cyclicals;USA
GPRE.O;US3932221043;Green Plains Inc;Energy;USA
NARI.O;US45332Y1091;Inari Medical Inc;Healthcare;USA
DNLI.O;US24823R1059;Denali Therapeutics Inc;Healthcare;USA
APPN.O;US03782L1017;Appian Corp;Technology;USA
PACW.O;US6952631033;PacWest Bancorp;Financials;USA
FEYE.O;US31816Q1013;FireEye Inc;Technology;USA
EVGO.O;US30052F1003;EVgo Inc;Utilities;USA
TREE.O;US52603B1070;LendingTree Inc;Financials;USA
CERT.O;US15687V1098;Certara Inc;Technology;USA
LOVE.O;US54738L1098;Lovesac Co;Consumer Cyclicals;USA
SSB.O;US8404411097;SouthState Corp;Financials;USA
PLCE.O;US1689051076;Children's Place Inc;Consumer Cyclicals;USA
DOMO.O;US2575541055;Domo Inc;Technology;USA
TCBI.O;US88224Q1076;Texas Capital Bancshares Inc;Financials;USA
AXNX.O;US05465P1012;Axonics Inc;Healthcare;USA
SITM.O;US82982T1060;SiTime Corp;Technology;USA
BPMC.O;US09627Y1091;Blueprint Medicines Corp;Healthcare;USA
FLGT.O;US3596641098;Fulgent Genetics Inc;Healthcare;USA
MQ.O;US57142B1044;Marqeta Inc;Technology;USA
BCRX.O;US09058V1035;BioCryst Pharmaceuticals Inc;Healthcare;USA
CRSR.O;US22041X1028;Corsair Gaming Inc;Technology;USA
STAA.O;US8523123052;STAAR Surgical Co;Healthcare;USA
KROS.O;US4923271013;Keros Therapeutics Inc;Healthcare;USA
UMPQ.O;US9042141039;Umpqua Holdings Corp;Financials;USA
WOOF.O;US71601V1052;Petco Health and Wellness Company Inc;Consumer Cyclicals;USA
SHOO.O;US5562691080;Steven Madden Ltd;Consumer Cyclicals;USA
CDNA.O;US14167L1035;CareDx Inc;Healthcare;USA
CHX.O;US15872M1045;ChampionX Corp;Energy;USA
DH.O;US24477E1038;Definitive Healthcare Corp;Technology;USA
IRWD.O;US46333X1081;Ironwood Pharmaceuticals Inc;Healthcare;USA
ARWR.O;US04280A1007;Arrowhead Pharmaceuticals Inc;Healthcare;USA
